Start,End,Text
1891.436,1894.803,"ARTIE 'Cause maybe... just maybe..."
1894.939,1898.636,"ARTIE ...this guy's gonna turn out to be, I don't know, a king?"
1898.776,1903.804,"ARTIE And maybe his first royal decree will be to banish everyone who ever picked on him."""
1903.948,1906.815,"ARTIE That's right, I'm looking at you, jousting team!"
1907.151,1910.348,"ARTIE And Guin? Oh, Guin."
1911.222,1912.553,"ARTIE I've always loved you."
1914.425,1916.985,"ARTIE Good friends, it breaks my heart, but..."
1917.128,1920.62,"ARTIE ...enjoy your stay here in prison while I rule the free world baby!"
1920.765,1922.357,"SHREK Okay, let's not overdo it."
1922.5,1925.833,"ARTIE I'm building my city, people... on rock 'n' roll!"
1925.97,1927.835,"SHREK You just overdid it."
1936.981,1938.608,"SNOW WHITE Look at you!"
1938.75,1940.274,"SNOW WHITE You look darling."
1940.418,1942.613,"SLEEPING BEAUTY Just precious. Look at her."
1942.754,1945.12,"RAPUNZEL Any cravings since you got pregnant?"
1945.256,1947.884,"FIONA No. Not at all."
1948.726,1950.455,"FIONA Do you smell ham?"
1950.595,1953.723,"SNOW WHITE It's present time!"
1955.6,1959.661,"CINDERALLA Fiona, please open mine first. It's... It's the one in front."
1959.804,1964.434,"FIONA ""Congratulations on your new mess mak..."" Oh, mess maker!"
1964.575,1967.567,"FIONA ""Hopefully this helps. Love, Cinderella."""
1968.913,1970.574,"DORIS Look at that!"
1972.15,1974.618,"CINDERALLA It's for the poopies."
1974.752,1976.31,"SLEEPING BEAUTY Wait... babies poop?"
1976.454,1977.785,"RAPUNZEL Everyone poops, Beauty."
1977.922,1979.389,"PIG Fiona!"
1979.524,1982.357,"PIG We all chipped in for a little present, too."
1983.261,1984.819,"PIG Ta-da!"
1986.03,1988.863,"GINGERBREAD MAN You know the baby's gonna love it, because I do!"
1989,1991.969,"FIONA Guys, that's so sweet. Thank you."
1992.103,1993.502,"FIONA Who's this one from?"
1993.638,1996.573,"SNOW WHITE I got you the biggest one, because I love you most."
1996.707,1999.767,"SNOW WHITE ""Have one on me. Love, Snow White."""
2002.613,2004.24,"FIONA What is it?"
2004.382,2005.906,"SNOW WHITE He's a live-in babysitter."
2006.05,2007.142,"NANNY DWARF Where's the baby?"
2007.285,2011.346,"FIONA You're too kind, Snow, but I can't accept this."
2011.489,2013.855,"SNOW WHITE It's nothing. I have six more at home."
2013.991,2015.754,"NANNY DWARF - What does he do? - The cleaning."
2015.893,2017.485,"NANNY DWARF - The feeding. - The burping."
2017.628,2020.096,"FIONA So, what are Shrek and I supposed to do?"
2020.231,2022.358,"RAPUNZEL Now you have plenty of time to work on your marriage."
2022.5,2026.368,"SHREK Thanks, Rapunzel. What's that supposed to mean?"
2026.504,2030.531,"RAPUNZEL Come on now, Fiona. You know what happens."
2031.476,2033.501,"SLEEPING BEAUTY You're tired all the time."
2033.644,2035.373,"SNOW WHITE You start leting yourself go."
2035.513,2036.673,"GINGERBREAD MAN Stretch marks."
2036.814,2038.145,"RAPUNZEL Say goodbye to romance."
2040.485,2043.921,"FIONA I'm sorry, but how many of you have kids?"
2044.055,2045.613,"DORIS She's right!"
2045.756,2050.193,"DORIS A baby will only strengthen the love Shrek and Fiona have."
2050.328,2053.161,"DORIS How did Shrek react when you told him? Tell me!"
2054.332,2057.495,"FIONA When he first found out, Shrek said..."
2070.348,2074.682,"PRINCE CHARMING Onward, my new friends! To our happily ever afters!"
2080.358,2082.519,"PRINCE CHARMING Now... bombs away!"
2099.043,2101.91,"CAPTAIN HOOK Well, well, well. If it isn't Peter Pan."
2102.046,2104.514,"MOTHER - His name's not Peter. - Shut it, Wendy."
2123.067,2126.73,"PRINCE CHARMING Enough pillaging! To the castle!"
2145.089,2146.556,"GINGERBREAD MAN You go! Take care of the baby!"
2146.691,2149.854,"SNOW WHITE Everybody stay calm! We're all going to die!"
2154.265,2156.392,"FIONA Everyone in! Now!"
2156.534,2158.661,"PRINCE CHARMING Come on! Put some back into it!"
2162.006,2163.496,"FIONA We don't have time. Now go!"
2163.641,2165.438,"QUEEN Quickly, ladies!"
2167.712,2169.27,"GINGERBREAD MAN We'll hold them off as long as we can!"
2184.962,2187.362,"PRINCE CHARMING Where are Shrek and Fiona?"
2187.498,2189.659,"GINGERBREAD MAN The name doesn't ring a bell."
2189.8,2191.495,"PIG No bell."
2191.636,2195.003,"PRINCE CHARMING I suggest you freaks cooperate..."
2195.139,2197.733,"PRINCE CHARMING ...with the new King of Far Far Away!"
2197.875,2201.572,"GINGERBREAD MAN The only thing you're ever gonna be king of is King of the Stupids!"
2201.712,2204.01,"PRINCE CHARMING - Hook! - Right!"
2204.148,2206.378,"CAPTAIN HOOK Avast, ye cookie."
2208.986,2210.647,"CAPTAIN HOOK Start talking."
2215.026,2216.516,"MUFFIN MAN & GINGERBREAD MAN - Gingy! - Papa!"
2216.661,2218.026,"TEACHER Settle down now."
2232.009,2235.308,"GINGERBREAD MAN On the good ship Lollipop"
2235.446,2238.882,"GINGERBREAD MAN It's a sweet trip to the candy shop"
2239.016,2240.005,"PRINCE CHARMING You!"
2240.851,2243.046,"PRINCE CHARMING You can't lie."
2243.187,2246.85,"PRINCE CHARMING So tell me, puppet... where is Shrek?"
2249.86,2253.091,"PINOCCHIO Well... I don't know where he's not."
